metric=q combos=1048576 done=138000 todo=910576 procs=2
2000/910576  9.5s elapsed, 209.6/s, eta 4334s
4000/910576  19.6s elapsed, 204.5/s, eta 4434s
6000/910576  29.5s elapsed, 203.4/s, eta 4447s
8000/910576  39.5s elapsed, 202.7/s, eta 4452s
10000/910576  49.6s elapsed, 201.6/s, eta 4467s
12000/910576  59.6s elapsed, 201.5/s, eta 4460s
14000/910576  69.7s elapsed, 200.9/s, eta 4464s
16000/910576  80.0s elapsed, 200.1/s, eta 4471s
18000/910576  89.9s elapsed, 200.2/s, eta 4457s
20000/910576  99.4s elapsed, 201.3/s, eta 4424s
22000/910576  108.2s elapsed, 203.4/s, eta 4369s
24000/910576  118.0s elapsed, 203.3/s, eta 4360s
26000/910576  127.9s elapsed, 203.3/s, eta 4351s
28000/910576  137.9s elapsed, 203.1/s, eta 4346s
30000/910576  148.0s elapsed, 202.8/s, eta 4343s
32000/910576  158.4s elapsed, 202.1/s, eta 4348s
34000/910576  168.0s elapsed, 202.4/s, eta 4332s
36000/910576  177.9s elapsed, 202.4/s, eta 4321s
38000/910576  187.6s elapsed, 202.6/s, eta 4308s
40000/910576  197.2s elapsed, 202.9/s, eta 4291s
42000/910576  206.9s elapsed, 203.0/s, eta 4278s
44000/910576  216.7s elapsed, 203.0/s, eta 4268s
46000/910576  226.9s elapsed, 202.8/s, eta 4264s
48000/910576  236.9s elapsed, 202.7/s, eta 4256s
50000/910576  246.7s elapsed, 202.7/s, eta 4246s
52000/910576  256.7s elapsed, 202.5/s, eta 4239s
54000/910576  267.1s elapsed, 202.2/s, eta 4237s
56000/910576  277.2s elapsed, 202.0/s, eta 4231s
58000/910576  286.0s elapsed, 202.8/s, eta 4203s
60000/910576  294.3s elapsed, 203.9/s, eta 4172s
62000/910576  303.4s elapsed, 204.3/s, eta 4153s
64000/910576  313.5s elapsed, 204.1/s, eta 4147s
66000/910576  323.4s elapsed, 204.1/s, eta 4138s
68000/910576  333.4s elapsed, 203.9/s, eta 4132s
70000/910576  343.2s elapsed, 204.0/s, eta 4121s
72000/910576  352.7s elapsed, 204.1/s, eta 4108s
74000/910576  362.3s elapsed, 204.3/s, eta 4095s
76000/910576  371.7s elapsed, 204.4/s, eta 4082s
78000/910576  381.3s elapsed, 204.6/s, eta 4070s
80000/910576  390.9s elapsed, 204.7/s, eta 4058s
82000/910576  401.1s elapsed, 204.4/s, eta 4053s
84000/910576  410.9s elapsed, 204.4/s, eta 4044s
86000/910576  420.9s elapsed, 204.3/s, eta 4036s
88000/910576  430.7s elapsed, 204.3/s, eta 4026s
90000/910576  440.6s elapsed, 204.3/s, eta 4017s
92000/910576  450.5s elapsed, 204.2/s, eta 4008s
94000/910576  460.4s elapsed, 204.2/s, eta 3999s
96000/910576  470.7s elapsed, 203.9/s, eta 3994s
98000/910576  482.5s elapsed, 203.1/s, eta 4001s
100000/910576  493.0s elapsed, 202.9/s, eta 3996s
102000/910576  503.1s elapsed, 202.7/s, eta 3988s
104000/910576  513.1s elapsed, 202.7/s, eta 3979s
106000/910576  524.1s elapsed, 202.3/s, eta 3978s
108000/910576  535.6s elapsed, 201.6/s, eta 3980s
110000/910576  545.3s elapsed, 201.7/s, eta 3969s
112000/910576  555.1s elapsed, 201.8/s, eta 3958s
114000/910576  564.8s elapsed, 201.9/s, eta 3946s
116000/910576  574.5s elapsed, 201.9/s, eta 3935s
118000/910576  584.4s elapsed, 201.9/s, eta 3925s
120000/910576  594.4s elapsed, 201.9/s, eta 3916s
122000/910576  604.4s elapsed, 201.9/s, eta 3907s
124000/910576  614.3s elapsed, 201.8/s, eta 3897s
126000/910576  624.3s elapsed, 201.8/s, eta 3887s
128000/910576  634.3s elapsed, 201.8/s, eta 3878s
130000/910576  644.2s elapsed, 201.8/s, eta 3868s
132000/910576  654.1s elapsed, 201.8/s, eta 3858s
134000/910576  664.3s elapsed, 201.7/s, eta 3850s
136000/910576  674.3s elapsed, 201.7/s, eta 3840s
138000/910576  684.2s elapsed, 201.7/s, eta 3830s
140000/910576  693.8s elapsed, 201.8/s, eta 3819s
142000/910576  703.6s elapsed, 201.8/s, eta 3808s
144000/910576  713.2s elapsed, 201.9/s, eta 3797s
146000/910576  723.5s elapsed, 201.8/s, eta 3789s
148000/910576  734.5s elapsed, 201.5/s, eta 3785s
150000/910576  746.1s elapsed, 201.0/s, eta 3783s
152000/910576  756.2s elapsed, 201.0/s, eta 3774s
154000/910576  765.9s elapsed, 201.1/s, eta 3763s
156000/910576  775.8s elapsed, 201.1/s, eta 3753s
158000/910576  785.4s elapsed, 201.2/s, eta 3741s
160000/910576  795.1s elapsed, 201.2/s, eta 3730s
162000/910576  806.7s elapsed, 200.8/s, eta 3728s
164000/910576  817.3s elapsed, 200.7/s, eta 3721s
166000/910576  827.4s elapsed, 200.6/s, eta 3711s
168000/910576  837.4s elapsed, 200.6/s, eta 3701s
170000/910576  847.6s elapsed, 200.6/s, eta 3693s
172000/910576  857.5s elapsed, 200.6/s, eta 3682s
174000/910576  867.4s elapsed, 200.6/s, eta 3672s
176000/910576  877.1s elapsed, 200.7/s, eta 3661s
178000/910576  886.9s elapsed, 200.7/s, eta 3650s
180000/910576  896.7s elapsed, 200.7/s, eta 3639s
182000/910576  906.4s elapsed, 200.8/s, eta 3628s
184000/910576  917.6s elapsed, 200.5/s, eta 3623s
186000/910576  932.3s elapsed, 199.5/s, eta 3632s
188000/910576  943.0s elapsed, 199.4/s, eta 3624s
190000/910576  952.7s elapsed, 199.4/s, eta 3613s
192000/910576  962.4s elapsed, 199.5/s, eta 3602s
194000/910576  972.4s elapsed, 199.5/s, eta 3592s
196000/910576  982.0s elapsed, 199.6/s, eta 3580s
198000/910576  991.8s elapsed, 199.6/s, eta 3569s
200000/910576  1001.6s elapsed, 199.7/s, eta 3559s
202000/910576  1011.3s elapsed, 199.7/s, eta 3548s
204000/910576  1021.2s elapsed, 199.8/s, eta 3537s
206000/910576  1030.8s elapsed, 199.9/s, eta 3525s
208000/910576  1040.4s elapsed, 199.9/s, eta 3514s
210000/910576  1050.1s elapsed, 200.0/s, eta 3503s
212000/910576  1059.7s elapsed, 200.1/s, eta 3492s
214000/910576  1069.6s elapsed, 200.1/s, eta 3482s
216000/910576  1080.3s elapsed, 199.9/s, eta 3474s
218000/910576  1090.1s elapsed, 200.0/s, eta 3463s
220000/910576  1101.3s elapsed, 199.8/s, eta 3457s
222000/910576  1113.4s elapsed, 199.4/s, eta 3453s
224000/910576  1124.7s elapsed, 199.2/s, eta 3447s
226000/910576  1135.7s elapsed, 199.0/s, eta 3440s
228000/910576  1144.9s elapsed, 199.1/s, eta 3428s
230000/910576  1154.1s elapsed, 199.3/s, eta 3415s
232000/910576  1163.4s elapsed, 199.4/s, eta 3403s
234000/910576  1173.3s elapsed, 199.4/s, eta 3392s
236000/910576  1183.2s elapsed, 199.5/s, eta 3382s
238000/910576  1193.4s elapsed, 199.4/s, eta 3372s
240000/910576  1203.3s elapsed, 199.4/s, eta 3362s
242000/910576  1213.7s elapsed, 199.4/s, eta 3353s
244000/910576  1224.0s elapsed, 199.3/s, eta 3344s
246000/910576  1234.2s elapsed, 199.3/s, eta 3334s
248000/910576  1244.7s elapsed, 199.2/s, eta 3326s
250000/910576  1255.0s elapsed, 199.2/s, eta 3316s
252000/910576  1265.1s elapsed, 199.2/s, eta 3306s
254000/910576  1275.1s elapsed, 199.2/s, eta 3296s
256000/910576  1285.0s elapsed, 199.2/s, eta 3286s
258000/910576  1295.4s elapsed, 199.2/s, eta 3277s
260000/910576  1305.4s elapsed, 199.2/s, eta 3266s
262000/910576  1315.9s elapsed, 199.1/s, eta 3257s
264000/910576  1326.4s elapsed, 199.0/s, eta 3249s
266000/910576  1336.9s elapsed, 199.0/s, eta 3239s
268000/910576  1347.1s elapsed, 198.9/s, eta 3230s
270000/910576  1357.5s elapsed, 198.9/s, eta 3221s
272000/910576  1367.6s elapsed, 198.9/s, eta 3211s
274000/910576  1377.6s elapsed, 198.9/s, eta 3201s
276000/910576  1387.9s elapsed, 198.9/s, eta 3191s
278000/910576  1398.2s elapsed, 198.8/s, eta 3181s
280000/910576  1408.4s elapsed, 198.8/s, eta 3172s
282000/910576  1418.8s elapsed, 198.8/s, eta 3162s
284000/910576  1428.9s elapsed, 198.8/s, eta 3153s
286000/910576  1439.9s elapsed, 198.6/s, eta 3144s
288000/910576  1450.2s elapsed, 198.6/s, eta 3135s
290000/910576  1461.6s elapsed, 198.4/s, eta 3128s
292000/910576  1472.2s elapsed, 198.3/s, eta 3119s
294000/910576  1482.5s elapsed, 198.3/s, eta 3109s
296000/910576  1493.2s elapsed, 198.2/s, eta 3100s
298000/910576  1503.7s elapsed, 198.2/s, eta 3091s
300000/910576  1514.4s elapsed, 198.1/s, eta 3082s
302000/910576  1525.0s elapsed, 198.0/s, eta 3073s
304000/910576  1535.3s elapsed, 198.0/s, eta 3063s
306000/910576  1545.7s elapsed, 198.0/s, eta 3054s
308000/910576  1556.0s elapsed, 197.9/s, eta 3044s
310000/910576  1566.3s elapsed, 197.9/s, eta 3034s
312000/910576  1576.6s elapsed, 197.9/s, eta 3025s
314000/910576  1586.9s elapsed, 197.9/s, eta 3015s
316000/910576  1597.1s elapsed, 197.9/s, eta 3005s
318000/910576  1606.9s elapsed, 197.9/s, eta 2994s
320000/910576  1617.0s elapsed, 197.9/s, eta 2984s
322000/910576  1626.9s elapsed, 197.9/s, eta 2974s
324000/910576  1637.0s elapsed, 197.9/s, eta 2964s
326000/910576  1646.9s elapsed, 198.0/s, eta 2953s
328000/910576  1656.7s elapsed, 198.0/s, eta 2943s
330000/910576  1666.8s elapsed, 198.0/s, eta 2932s
332000/910576  1677.1s elapsed, 198.0/s, eta 2923s
334000/910576  1687.2s elapsed, 198.0/s, eta 2913s
336000/910576  1697.2s elapsed, 198.0/s, eta 2902s
338000/910576  1707.5s elapsed, 198.0/s, eta 2892s
340000/910576  1717.3s elapsed, 198.0/s, eta 2882s
342000/910576  1727.4s elapsed, 198.0/s, eta 2872s
344000/910576  1737.6s elapsed, 198.0/s, eta 2862s
346000/910576  1747.7s elapsed, 198.0/s, eta 2852s
348000/910576  1757.7s elapsed, 198.0/s, eta 2842s
350000/910576  1768.1s elapsed, 198.0/s, eta 2832s
352000/910576  1777.9s elapsed, 198.0/s, eta 2821s
354000/910576  1787.8s elapsed, 198.0/s, eta 2811s
356000/910576  1797.8s elapsed, 198.0/s, eta 2801s
358000/910576  1807.9s elapsed, 198.0/s, eta 2790s
360000/910576  1818.3s elapsed, 198.0/s, eta 2781s
362000/910576  1828.2s elapsed, 198.0/s, eta 2770s
364000/910576  1838.1s elapsed, 198.0/s, eta 2760s
366000/910576  1848.2s elapsed, 198.0/s, eta 2750s
368000/910576  1858.4s elapsed, 198.0/s, eta 2740s
370000/910576  1868.4s elapsed, 198.0/s, eta 2730s
372000/910576  1878.5s elapsed, 198.0/s, eta 2720s
374000/910576  1888.6s elapsed, 198.0/s, eta 2710s
376000/910576  1898.6s elapsed, 198.0/s, eta 2699s
378000/910576  1908.6s elapsed, 198.1/s, eta 2689s
380000/910576  1918.8s elapsed, 198.0/s, eta 2679s
382000/910576  1929.3s elapsed, 198.0/s, eta 2670s
384000/910576  1939.1s elapsed, 198.0/s, eta 2659s
386000/910576  1949.4s elapsed, 198.0/s, eta 2649s
388000/910576  1960.2s elapsed, 197.9/s, eta 2640s
390000/910576  1971.5s elapsed, 197.8/s, eta 2632s
392000/910576  1981.9s elapsed, 197.8/s, eta 2622s
394000/910576  1992.3s elapsed, 197.8/s, eta 2612s
396000/910576  2002.6s elapsed, 197.7/s, eta 2602s
398000/910576  2013.0s elapsed, 197.7/s, eta 2593s
400000/910576  2023.3s elapsed, 197.7/s, eta 2583s
402000/910576  2034.1s elapsed, 197.6/s, eta 2573s
404000/910576  2044.4s elapsed, 197.6/s, eta 2564s
406000/910576  2055.1s elapsed, 197.6/s, eta 2554s
408000/910576  2065.7s elapsed, 197.5/s, eta 2544s
410000/910576  2076.1s elapsed, 197.5/s, eta 2535s
412000/910576  2087.0s elapsed, 197.4/s, eta 2526s
414000/910576  2098.0s elapsed, 197.3/s, eta 2516s
416000/910576  2108.6s elapsed, 197.3/s, eta 2507s
418000/910576  2119.4s elapsed, 197.2/s, eta 2497s
420000/910576  2130.3s elapsed, 197.2/s, eta 2488s
422000/910576  2140.5s elapsed, 197.1/s, eta 2478s
424000/910576  2151.0s elapsed, 197.1/s, eta 2468s
426000/910576  2161.2s elapsed, 197.1/s, eta 2458s
428000/910576  2171.4s elapsed, 197.1/s, eta 2448s
430000/910576  2181.9s elapsed, 197.1/s, eta 2438s
432000/910576  2192.4s elapsed, 197.0/s, eta 2429s
434000/910576  2202.7s elapsed, 197.0/s, eta 2419s
436000/910576  2213.2s elapsed, 197.0/s, eta 2409s
438000/910576  2223.7s elapsed, 197.0/s, eta 2399s
440000/910576  2234.2s elapsed, 196.9/s, eta 2389s
442000/910576  2244.5s elapsed, 196.9/s, eta 2379s
444000/910576  2254.9s elapsed, 196.9/s, eta 2370s
446000/910576  2265.8s elapsed, 196.8/s, eta 2360s
448000/910576  2276.6s elapsed, 196.8/s, eta 2351s
450000/910576  2287.1s elapsed, 196.8/s, eta 2341s
452000/910576  2297.6s elapsed, 196.7/s, eta 2331s
454000/910576  2307.7s elapsed, 196.7/s, eta 2321s
456000/910576  2317.9s elapsed, 196.7/s, eta 2311s
458000/910576  2328.1s elapsed, 196.7/s, eta 2300s
460000/910576  2338.3s elapsed, 196.7/s, eta 2290s
462000/910576  2348.6s elapsed, 196.7/s, eta 2280s
464000/910576  2358.9s elapsed, 196.7/s, eta 2270s
466000/910576  2369.0s elapsed, 196.7/s, eta 2260s
468000/910576  2379.7s elapsed, 196.7/s, eta 2250s
470000/910576  2390.5s elapsed, 196.6/s, eta 2241s
472000/910576  2401.2s elapsed, 196.6/s, eta 2231s
474000/910576  2411.7s elapsed, 196.5/s, eta 2221s
476000/910576  2420.7s elapsed, 196.6/s, eta 2210s
478000/910576  2430.1s elapsed, 196.7/s, eta 2199s
